domain,status,error_reason,company_overview,target_audience,contact_emails,key_team_members,confidence_score,fetch_s,preprocess_s,llm_s,enrich_s,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,processing_time_s,pages_fetched
notion.com,failed,All page fetches failed,,,,,0.0,16.39,0.0,0.0,0.0,0,0,0,0.0,16.39,0
stripe.com,failed,All page fetches failed,,,,,0.0,12.43,0.0,0.0,0.0,0,0,0,0.0,12.43,0
linear.app,success,,"Linear is a product development platform that helps teams manage issues, projects, and product strategy through features like team-based initiatives. It differentiates itself with enterprise-grade security features such as Okta-managed identity verification for its MCP integration and private team visibility for sensitive planning work.","Product development teams and engineering organizations, ranging from startups to enterprises, who need to manage product strategy, issues, and projects.",,"Karri Saarinen (Co-Founder, CEO) [https://www.linkedin.com/in/karrisaarinen]; Tuomas Artman (Co-Founder) [https://es.linkedin.com/in/tuomasartman]; Jori Lallo (Co-Founder) [https://www.linkedin.com/in/jorilallo]",0.68,16.41,0.001,1.15,10.75,1311,161,1472,0.000901,28.32,1
railway.app,failed,All page fetches failed,,,,,0.0,16.39,0.0,0.0,0.0,0,0,0,0.0,16.39,0
resend.com,failed,Hard timeout (45s),,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
airtable.com,failed,All page fetches failed,,,,,0.0,12.44,0.0,0.0,0.0,0,0,0,0.0,12.44,0
retool.com,success,,"Retool provides a unified platform for building, deploying, and managing internal business applications that connect to any database, API, or LLM. What sets them apart is their production-grade approach to internal tools—offering AI-powered app generation (AppGen), governance built-in by default (RBAC, audit logs), and an AI agent system that doesn't just display data but acts on it through autonomous workflows and write-back capabilities.","Data teams, engineering teams, operations teams, financial services, manufacturing, enterprise, and startups looking to build production-ready internal tools without being bottlenecked by engineering resources.",support@retool.com,Sam Garfield (Author (likely blog/product content)) [https://www.linkedin.com/in/samuelholdengarfield]; David Huie (Co-Founder & CEO) [https://www.linkedin.com/in/daviddd]; Chris Pires (Co-Founder & CTO) [https://www.linkedin.com/in/chris-pires-7301b360]; Jason Dent (Chief Legal Officer) [https://www.linkedin.com/in/jadent],0.86,16.33,0.01,1.47,6.44,2307,229,2536,0.001542,24.25,2
clerk.com,success,,"Clerk provides authentication, user management, multi-tenancy, and billing components purpose-built for modern web frameworks like React, Next.js, and Remix. Notable for its developer-first UX (drop-in components and an AI-agent-focused CLI), SOC 2 Type 2 / CCPA compliance, and a recent $50M Series C backed by industry leaders like Vercel, Stripe, and Supabase.","Developers and engineering teams building modern web and mobile applications (React, Next.js, Remix, Expo) who need production-ready authentication, user/organization management, and subscription billing without building it in-house.",another.bad.actor@example.com; bad_actor+1@example.com; bad_actor+2@example.com; bad_actor+3@example.com; chris.walker@example.com; chris94@example.com; cwalker@example.com; sales@clerk.dev; support@clerk.com,"Guillermo Rauch (CEO, Vercel (customer)) [https://www.linkedin.com/in/kevinrose]",0.83,12.44,0.054,3.65,1.97,2807,244,3051,0.001849,18.11,3
thisdomaindoesnotexist12345.com,failed,All page fetches failed,,,,,0.0,10.53,0.0,0.0,0.0,0,0,0,0.0,10.7,0
httpstat.us,failed,All page fetches failed,,,,,0.0,18.39,0.0,0.0,0.0,0,0,0,0.0,18.39,0
